Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Login/ButtonLogin""))",Chrome 86.0.4240.198,Se selecciona el boton de ingreso,,2020-11-30 23:01:04,2020-11-30 23:01:07,"2,952s",PASSED
"verifyElementPresent(findTestObject(""Main Page/WelcomeMenu""), 5)",Chrome 86.0.4240.198,,,2020-11-30 23:01:07,2020-11-30 23:01:07,"0,078s",PASSED
"click(findTestObject(""Options/MenuPost""))",Chrome 86.0.4240.198,,,2020-11-30 23:01:07,2020-11-30 23:01:07,"0,647s",PASSED
"verifyElementPresent(findTestObject(""Interfaces/InterfacePost""), 3)",Chrome 86.0.4240.198,,,2020-11-30 23:01:07,2020-11-30 23:01:08,"0,078s",PASSED
"click(findTestObject(""NavegationOptions/PublishedPost""))",Chrome 86.0.4240.198,,,2020-11-30 23:01:08,2020-11-30 23:01:08,"0,628s",PASSED
,,,,,,,
Test Cases/Posts/ViewInterfacePosts,Chrome 86.0.4240.198,,,2020-11-30 23:01:13,2020-11-30 23:01:31,"17,552s",PASSED
"openBrowser(""https://s1.demo.opensourcecms.com/wordpress/wp-login.php"")",Chrome 86.0.4240.198,"Se ingresa al navegador por defecto
",,2020-11-30 23:01:13,2020-11-30 23:01:19,"5,684s",PASSED
maximizeWindow(),Chrome 86.0.4240.198,"maximiza el navegador
",,2020-11-30 23:01:19,2020-11-30 23:01:21,"2,181s",PASSED
"click(findTestObject(""Login/InputUserName""))",Chrome 86.0.4240.198,"Se selecciona el campo de usuario
",,2020-11-30 23:01:21,2020-11-30 23:01:21,"0,140s",PASSED
"setText(findTestObject(""Login/InputUserName""), ""opensourcecms"")",Chrome 86.0.4240.198,Se ingresa el usuario,,2020-11-30 23:01:21,2020-11-30 23:01:22,"0,175s",PASSED
"click(findTestObject(""Login/InputPassword""))",Chrome 86.0.4240.198,"Se selecciona el campo de contraseña
",,2020-11-30 23:01:22,2020-11-30 23:01:22,"0,119s",PASSED
"setText(findTestObject(""Login/InputPassword""), ""opensourcecms"")",Chrome 86.0.4240.198,Se ingresa la contraseña,,2020-11-30 23:01:22,2020-11-30 23:01:22,"0,163s",PASSED
"click(findTestObject(""Login/ButtonLogin""))",Chrome 86.0.4240.198,Se selecciona el boton de ingreso,,2020-11-30 23:01:22,2020-11-30 23:01:25,"3,076s",PASSED
"verifyElementPresent(findTestObject(""Main Page/WelcomeMenu""), 5)",Chrome 86.0.4240.198,,,2020-11-30 23:01:25,2020-11-30 23:01:25,"0,079s",PASSED
"click(findTestObject(""Options/MenuPost""))",Chrome 86.0.4240.198,,,2020-11-30 23:01:25,2020-11-30 23:01:26,"0,641s",PASSED
"verifyElementPresent(findTestObject(""Interfaces/InterfacePost""), 3)",Chrome 86.0.4240.198,,,2020-11-30 23:01:26,2020-11-30 23:01:26,"0,076s",PASSED
